;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;nutrition;;;;;;;vitamins & minerals;;;;;;;;;;;;;;;;;;;;;
;;NDB_No;Descrip;Energy_kcal;Protein_g;Saturated_fats_g;Fat_g;Carb_g;Fiber_g;Sugar_g;Calcium_mg;Iron_mg;Magnesium_mg;Phosphorus_mg;Potassium_mg;Sodium_mg;Zinc_mg;Copper_mcg;Manganese_mg;Selenium_mcg;VitC_mg;Thiamin_mg;Riboflavin_mg;Niacin_mg;VitB6_mg;Folate_mcg;VitB12_mcg;VitA_mcg;VitE_mg;VitD2_mcg;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;11246;leeks (bulblower leaf-portion) raw;61;2;0;0;14;2;4;59;2;28;35;180;20;0;0;0;1;12;0;0;0;0;64;0;83;0.92;0;;
;;17007;"lamb dom foreshank lnfat 14""fat choic raw";201;19;6;13;0;0;0;11;2;22;170;214;72;5;0;0;20;0;0;0;5;0;19;2;0;0.25;0;;
;;P010;chakla;97;20;1;2;0;0;0;7;0;24.71;219;343;51;1;0;0;59;0;0;0;2;99;572;0;0;0.72;0;;
;;P090;whale shark;96;22;0;1;0;0;0;8;0;20.61;274;365;116;0;0;0;34;0;0;0;3;125;1605;0;0;0.17;0;;
;;28142;keebler town house original crackers;526;5;5;30;60;2;7;0;0;0;202;103;826;0;0;0;0;0;1;0;3;0;0;0;0;0;0;;
;;17178;game meat rabbit domesticated comp of cuts ckd rstd;197;29;2;8;0;0;0;19;2;21;263;383;47;2;0;0;39;0;0;0;8;0;11;8;0;0;0;;
;;28296;cake snk cakes creme-filled choc w frstng l-f w add fiber;409;4;6;13;69;15;33;149;4;34;146;193;483;1;0;0;21;0;0;0;2;0;18;0;1;1.13;0;;
;;12537;sunflower sd krnls dry rstd wsalt;582;19;5;50;24;9;3;70;4;129;1155;850;655;5;2;2;79;1;0;0;7;1;237;0;0;26.1;0;;
;;28257;austin pnut butter on toasty crackers sandwich-type;489;11;4;24;60;3;12;54;3;12;118;66;772;0;0;0;0;0;0;0;4;0;0;0;0;0;0;;
;;11088;broadbeans immat seeds raw;72;6;0;1;12;4;0;22;2;38;95;250;50;1;0;0;1;33;0;0;2;0;96;0;18;0;0;;
;;21286;"papa john's 14"" chs pizza thin crust";295;12;6;16;26;2;4;238;1;22;245;160;528;1;0;0;29;0;0;0;1;0;0;1;84;1.78;0;;
;;6366;campbell's red  white minestrone soup cond;71;3;0;1;13;2;2;16;1;0;0;833;516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;23460;beef nz imp flat ln  fat ckd brsd;252;32;5;14;0;0;0;6;3;17;154;170;30;4;0;0;2;0;0;0;2;0;0;2;14;1.1;0;;
;;17245;"lamb dom shldr whl (armbld) lnfat 18""fat choic ckd rstd";269;23;8;19;0;0;0;20;2;23;185;251;66;5;0;0;26;0;0;0;6;0;21;3;0;0;0;;
;;14092;bev choc almond milk unswtnd shelf-stable fort w vit d2  e;21;1;0;1;1;0;0;188;0;10;17;96;75;0;0;0;0;0;0;0;0;0;1;0;62;4.19;1;;
;;4629;margarine  veg oil sprd 70 fat soybn  part hydr soybn stk;628;0;14;70;2;0;0;7;0;2;10;46;700;0;0;0;0;0;0;0;0;0;1;0;0;5.59;0;;
;;10176;pork frsh loin cntr loin (chops) bone-in ln ckd pan-fried;195;30;3;8;0;0;0;51;1;24;268;378;99;3;0;0;44;0;1;0;10;1;0;1;3;0.22;1;;
;;11760;carrots frz ckd bld drnd wsalt;37;1;0;1;8;3;4;35;1;11;31;192;295;0;0;0;1;2;0;0;0;0;11;0;846;1.01;0;;
;;11981;peppers hungarian raw;29;1;0;0;7;1;4;12;0;16;29;202;1;0;0;0;0;93;0;0;1;1;53;0;41;0.48;0;;
;;21237;mcdonald's big mac;257;12;4;15;20;2;4;116;2;20;122;181;460;2;0;0;0;0;0;0;3;0;0;1;0;0;0;;
;;43379;cheese past process swiss lofat;165;26;3;5;4;0;1;684;0;24;827;180;1430;3;0;0;17;0;0;0;0;0;9;1;40;0.07;0;;
;;8671;cereals rte general mills dulce de leche cheerios;378;7;1;6;82;7;21;370;33;59;222;272;509;14;0;0;0;56;1;2;19;2;0;6;0;0;4;;
;;10875;pork cured ham w nat juices slice bone-in ln htd pan-broil;150;28;1;4;0;0;0;12;1;23;291;358;835;3;0;0;51;0;0;0;9;0;1;1;13;0.23;0;;
